# Onda Corporation
# Hydrophone Calibration Data
# 
Calibration_DATE	29-May-2013
# 
# Hydrophone description
HYD_MFG	Onda
HYD_MODEL	HNR
HYD_APERTURE_NOM_UM	0500
HYD_SN	1663
HYD_POLARITY	Positive
# 
# External preamplifier description
AMP_MFG	NONE
AMP_MODEL	NONE
AMP_SN	NONE
AMP_GAIN_NOM_DB	NONE
AMP_BW_MHZ	NONE
AMP_OUTPUT_IMP_NOM_OHMS	NONE
# 
# Cable/adaptor between hydrophone and preamplifier
CA_BWT_HYD_AMP	NONE
# 
# Environment
ELECTRICAL_LOAD	OpenCircuit
WATER_TEMP_DEGC	23.5
WATER_RESISTIVITY_MOHMS-CM	1.2
#
# Calibration data
# Freq(MHz) Sens(dB re. 1V/uPa) Sens(V/Pa) Sens(V^2cm^2/W) Cap(pF)
#
DATA_FIELDS	5
DATA_FIELD	FREQ_MHz
DATA_FIELD	SENS_DB
DATA_FIELD	SENS_VPERPA
DATA_FIELD	SENS_V2CM2PERW
DATA_FIELD	CAP_PF
# End of file header
HEADER_END	0
 4.600	 -255.87	  1.608E-007	3.879E-004	    210.219
 4.650	 -255.82	  1.618E-007	3.926E-004	    210.337
 4.700	 -255.80	  1.622E-007	3.945E-004	    210.458
 4.750	 -255.77	  1.627E-007	3.973E-004	    210.581
 4.800	 -255.72	  1.636E-007	4.015E-004	    210.707
 4.850	 -255.65	  1.650E-007	4.084E-004	    210.834
 4.900	 -255.60	  1.660E-007	4.134E-004	    210.963
 4.950	 -255.53	  1.673E-007	4.199E-004	    211.095
 5.000	 -255.39	  1.700E-007	4.337E-004	    211.228
 5.050	 -255.32	  1.714E-007	4.407E-004	    211.364
 5.100	 -255.29	  1.720E-007	4.438E-004	    211.502
 5.150	 -255.12	  1.753E-007	4.609E-004	    211.641
 5.200	 -255.02	  1.774E-007	4.718E-004	    211.783
 5.250	 -254.94	  1.790E-007	4.809E-004	    211.926
 5.300	 -254.90	  1.800E-007	4.858E-004	    212.071
 5.350	 -254.97	  1.784E-007	4.776E-004	    212.219
 5.400	 -255.05	  1.768E-007	4.688E-004	    212.368
 5.450	 -255.12	  1.755E-007	4.618E-004	    212.518
 5.500	 -255.13	  1.752E-007	4.604E-004	    212.671
 5.550	 -255.12	  1.754E-007	4.615E-004	    212.826
 5.600	 -255.07	  1.763E-007	4.662E-004	    212.982
 5.650	 -255.09	  1.760E-007	4.644E-004	    213.140
 5.700	 -254.98	  1.783E-007	4.767E-004	    213.300
 5.750	 -254.95	  1.788E-007	4.794E-004	    213.461
 5.800	 -254.92	  1.794E-007	4.826E-004	    213.625
 5.850	 -254.95	  1.790E-007	4.804E-004	    213.789
 5.900	 -254.96	  1.787E-007	4.788E-004	    213.956
 5.950	 -255.01	  1.776E-007	4.730E-004	    214.124
 6.000	 -255.08	  1.762E-007	4.656E-004	    214.294
 6.050	 -255.11	  1.755E-007	4.622E-004	    214.466
 6.100	 -255.00	  1.777E-007	4.739E-004	    214.639
 6.150	 -255.04	  1.771E-007	4.705E-004	    214.814
 6.200	 -254.65	  1.852E-007	5.145E-004	    214.990
 6.250	 -254.57	  1.869E-007	5.241E-004	    215.168
 6.300	 -254.67	  1.848E-007	5.121E-004	    215.348
 6.350	 -254.86	  1.807E-007	4.897E-004	    215.529
 6.400	 -255.08	  1.762E-007	4.654E-004	    215.712
 6.450	 -255.15	  1.747E-007	4.580E-004	    215.896
 6.500	 -254.91	  1.797E-007	4.846E-004	    216.082
 6.550	 -254.66	  1.849E-007	5.128E-004	    216.269
 6.600	 -254.65	  1.851E-007	5.138E-004	    216.458
 6.650	 -254.76	  1.827E-007	5.009E-004	    216.648
 6.700	 -254.97	  1.785E-007	4.781E-004	    216.840
 6.750	 -254.85	  1.809E-007	4.910E-004	    217.034
 6.800	 -254.89	  1.800E-007	4.860E-004	    217.229
 6.850	 -254.92	  1.795E-007	4.832E-004	    217.425
 6.900	 -254.98	  1.783E-007	4.767E-004	    217.623
 6.950	 -254.97	  1.784E-007	4.774E-004	    217.822
 7.000	 -255.09	  1.759E-007	4.642E-004	    218.023
 7.050	 -255.07	  1.764E-007	4.667E-004	    218.226
 7.100	 -255.12	  1.754E-007	4.616E-004	    218.429
 7.150	 -255.15	  1.747E-007	4.578E-004	    218.635
 7.200	 -255.05	  1.767E-007	4.684E-004	    218.842
 7.250	 -255.11	  1.757E-007	4.630E-004	    219.050
 7.300	 -255.11	  1.755E-007	4.620E-004	    219.260
 7.350	 -255.12	  1.755E-007	4.619E-004	    219.471
 7.400	 -255.03	  1.771E-007	4.706E-004	    219.683
 7.450	 -254.91	  1.797E-007	4.845E-004	    219.898
 7.500	 -254.99	  1.780E-007	4.755E-004	    220.113
 7.550	 -255.04	  1.770E-007	4.701E-004	    220.330
 7.600	 -255.13	  1.752E-007	4.602E-004	    220.549
 7.650	 -255.28	  1.722E-007	4.445E-004	    220.769
