Freq(MHz)	Sens(dB re. 1V/uPa)	Sens(V/Pa)	Sens(V^2cm^2/W)	Cap(pF)
17.25	-260.58	9.351E-08	1.31E-04	330.136
17.3	-260.58	9.351E-08	1.31E-04	331.421
17.35	-260.5	9.438E-08	1.34E-04	332.72
17.4	-260.78	9.144E-08	1.25E-04	334.031
17.45	-260.99	8.927E-08	1.20E-04	335.356
17.5	-260.8	9.118E-08	1.25E-04	336.694
17.55	-260.74	9.187E-08	1.27E-04	338.047
17.6	-260.73	9.194E-08	1.27E-04	339.412
17.65	-260.75	9.170E-08	1.26E-04	340.791
17.7	-260.82	9.103E-08	1.24E-04	342.185
17.75	-261.06	8.855E-08	1.18E-04	343.593
17.8	-261.1	8.808E-08	1.16E-04	345.014
17.85	-261.13	8.779E-08	1.16E-04	346.45
17.9	-260.9	9.018E-08	1.22E-04	347.901
17.95	-260.99	8.923E-08	1.19E-04	349.366
18	-261.2	8.706E-08	1.14E-04	350.847
18.05	-261.21	8.703E-08	1.14E-04	352.342
18.1	-261.11	8.798E-08	1.16E-04	353.853
18.15	-261.3	8.613E-08	1.11E-04	355.378
18.2	-261.53	8.381E-08	1.05E-04	356.918
18.25	-261.43	8.480E-08	1.08E-04	358.473
18.3	-261.33	8.582E-08	1.11E-04	360.045
18.35	-261.39	8.522E-08	1.09E-04	361.632
18.4	-261.46	8.450E-08	1.07E-04	363.234
18.45	-261.46	8.452E-08	1.07E-04	364.852
18.5	-261.52	8.395E-08	1.06E-04	366.487
18.55	-261.37	8.539E-08	1.09E-04	368.137
18.6	-261.45	8.467E-08	1.08E-04	369.804
18.65	-261.45	8.460E-08	1.07E-04	371.486
18.7	-261.77	8.161E-08	9.99E-05	373.186
18.75	-261.81	8.122E-08	9.89E-05	374.902
18.8	-261.54	8.377E-08	1.05E-04	376.635
18.85	-261.56	8.355E-08	1.05E-04	378.384
18.9	-261.71	8.216E-08	1.01E-04	380.151
18.95	-261.81	8.120E-08	9.89E-05	381.935
19	-261.91	8.026E-08	9.66E-05	383.736
19.05	-262.06	7.892E-08	9.34E-05	385.555
19.1	-262.09	7.861E-08	9.27E-05	387.39
19.15	-261.97	7.974E-08	9.54E-05	389.244
19.2	-261.85	8.083E-08	9.80E-05	391.116
19.25	-261.96	7.978E-08	9.55E-05	393.006
19.3	-262.11	7.839E-08	9.22E-05	394.914
19.35	-262.03	7.915E-08	9.40E-05	396.839
19.4	-262.05	7.898E-08	9.36E-05	398.784
19.45	-262.23	7.734E-08	8.97E-05	400.747
19.5	-262.06	7.890E-08	9.34E-05	402.727
19.55	-262.12	7.832E-08	9.20E-05	404.728
19.6	-262.48	7.520E-08	8.48E-05	406.747
19.65	-262.38	7.607E-08	8.68E-05	408.786
19.7	-262.22	7.746E-08	9.00E-05	410.844
19.75	-262.31	7.667E-08	8.82E-05	412.921
19.8	-262.06	7.890E-08	9.34E-05	415.018
19.85	-262.14	7.817E-08	9.17E-05	417.135
19.9	-262.33	7.649E-08	8.78E-05	419.271
19.95	-262.25	7.719E-08	8.94E-05	421.429
20	-262.04	7.909E-08	9.38E-05	423.603
